mjd,ra,dec,mag,band,status,permid,provid,obstime_text
60793.143418796295,186.9856069,7.3796528,22.222,Lg,p,616827,2001 HL69,2025-04-28T03:26:31.384Z
60799.107274675924,185.9797295,7.4444014,21.957,Lr,p,616827,2001 HL69,2025-05-04T02:34:28.532Z
60793.059343402776,187.0020116,7.3777848,21.758,Li,p,616827,2001 HL69,2025-04-28T01:25:27.270Z
60797.05030321759,186.3024119,7.4369206,21.930,Li,p,616827,2001 HL69,2025-05-02T01:12:26.198Z
60797.03063512732,186.3057656,7.4367588,21.875,Li,p,616827,2001 HL69,2025-05-02T00:44:06.875Z
60794.16549726852,186.7977067,7.4000918,21.956,Lr,p,616827,2001 HL69,2025-04-29T03:58:18.964Z
60798.09700350695,186.1346657,7.4426943,21.881,Lr,p,616827,2001 HL69,2025-05-03T02:19:41.103Z
60797.06879287037,186.299237,7.4370536,21.983,Lr,p,616827,2001 HL69,2025-05-02T01:39:03.704Z
60797.11827957176,186.2907836,7.4374253,22.345,Lg,p,616827,2001 HL69,2025-05-02T02:50:19.355Z
60797.123132071756,186.2899431,7.4374548,22.389,Lg,p,616827,2001 HL69,2025-05-02T02:57:18.611Z
60799.129358171296,185.9762441,7.4443912,21.926,Lr,p,616827,2001 HL69,2025-05-04T03:06:16.546Z
60798.0154446875,186.1481318,7.4423623,21.809,Li,p,616827,2001 HL69,2025-05-03T00:22:14.421Z
60790.11781899306,187.5755618,7.2965551,21.718,Lr,p,616827,2001 HL69,2025-04-25T02:49:39.561Z
60799.03735375,185.9908066,7.4443905,21.835,Li,p,616827,2001 HL69,2025-05-04T00:53:47.364Z
60799.118040532405,185.9780201,7.4444032,21.978,Lr,p,616827,2001 HL69,2025-05-04T02:49:58.702Z
60798.040462349534,186.1440036,7.442456,21.931,Lr,p,616827,2001 HL69,2025-05-03T00:58:15.947Z
60798.04517415509,186.1432448,7.4424855,21.976,Lr,p,616827,2001 HL69,2025-05-03T01:05:03.047Z
60798.02432899306,186.1466592,7.4423883,21.857,Li,p,616827,2001 HL69,2025-05-03T00:35:02.025Z
60798.051515266205,186.1422226,7.4425039,21.849,Lr,p,616827,2001 HL69,2025-05-03T01:14:10.919Z
60798.01839019676,186.1476681,7.4423579,21.762,Li,p,616827,2001 HL69,2025-05-03T00:26:28.913Z
60798.071650659724,186.138885,7.442577,21.862,Lr,p,616827,2001 HL69,2025-05-03T01:43:10.617Z
60798.09263865741,186.1354226,7.442662,21.928,Lr,p,616827,2001 HL69,2025-05-03T02:13:23.980Z
60799.1828999537,185.9678381,7.444376,23.233,Lu,p,616827,2001 HL69,2025-05-04T04:23:22.556Z
60787.11752716435,188.2064935,7.1814517,21.552,Li,p,616827,2001 HL69,2025-04-22T02:49:14.347Z
60798.059877291664,186.1408257,7.4425451,21.964,Lr,p,616827,2001 HL69,2025-05-03T01:26:13.398Z
60795.06925565972,186.6376382,7.414949,21.903,Lr,p,616827,2001 HL69,2025-04-30T01:39:43.689Z
60793.055434305556,187.0027724,7.3776909,21.848,Li,p,616827,2001 HL69,2025-04-28T01:19:49.524Z
60797.10265269676,186.293457,7.437314,22.330,Lg,p,616827,2001 HL69,2025-05-02T02:27:49.193Z
60797.1329940162,186.2882531,7.4375395,22.282,Lg,p,616827,2001 HL69,2025-05-02T03:11:30.683Z
60798.04907587963,186.1426054,7.442484,21.896,Lr,p,616827,2001 HL69,2025-05-03T01:10:40.156Z
60797.10900741898,186.2923533,7.4373503,22.360,Lg,p,616827,2001 HL69,2025-05-02T02:36:58.241Z
60798.127994594906,186.1295961,7.4427651,22.342,Lg,p,616827,2001 HL69,2025-05-03T03:04:18.733Z
60797.07272398148,186.2985752,7.4370956,21.952,Lr,p,616827,2001 HL69,2025-05-02T01:44:43.352Z
